model,alpha,n_users,evaluation_phase,split_strategy,relevance_definition,selected_alpha,precision_at_10,precision_at_10_ci_low,precision_at_10_ci_high,recall_at_10,recall_at_10_ci_low,recall_at_10_ci_high,ndcg_at_10,ndcg_at_10_ci_low,ndcg_at_10_ci_high,hit_rate_at_10,hit_rate_at_10_ci_low,hit_rate_at_10_ci_high
Random,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Popularity,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,,0.006999999999999999,0.002,0.012000000000000002,0.07,0.03,0.13,0.035394543002413466,0.010468105584950593,0.0652424504771393,0.07,0.03,0.12
Genre-based,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF SVD,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,,0.004,0.001,0.008,0.04,0.01,0.08,0.025616063116448505,0.00430676558073393,0.05395276600939467,0.04,0.01,0.08
Content-FULL,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,,0.004,0.001,0.008,0.04,0.01,0.08,0.01911462985969109,0.002890648263178879,0.04489592638604885,0.04,0.01,0.08
Hybrid tuned,0.1,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006999999999999999,0.002,0.013000000000000001,0.07,0.02,0.12,0.0368945462469975,0.012422938538394008,0.06843536274552757,0.07,0.02,0.12
Hybrid history-alpha,,100,test,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.008,0.0030000000000000005,0.013999999999999999,0.08,0.03,0.13,0.04950523607401598,0.018175293653079346,0.09023007131621381,0.08,0.03,0.13
Hybrid alpha validation,0.0,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.0030000000000000005,0.0,0.006999999999999999,0.03,0.0,0.07,0.01687882802898523,0.0,0.04160558421703625,0.03,0.0,0.07
Hybrid alpha validation,0.1,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006,0.002,0.011000000000000001,0.06,0.02,0.11,0.043026018174652084,0.01,0.0838757725251419,0.06,0.02,0.11
Hybrid alpha validation,0.2,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006,0.002,0.011000000000000001,0.06,0.02,0.11,0.03833247437591728,0.009449060847791202,0.07392789260714373,0.06,0.02,0.11
Hybrid alpha validation,0.3,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006999999999999999,0.002,0.012000000000000002,0.07,0.03,0.12,0.040207713800552616,0.010900948219818692,0.07464093571365361,0.07,0.02,0.12
Hybrid alpha validation,0.4,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006999999999999999,0.002,0.012000000000000002,0.07,0.03,0.12,0.034850344669600526,0.009353074852756493,0.06519746840176659,0.07,0.02,0.12
Hybrid alpha validation,0.5,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006,0.002,0.011000000000000001,0.06,0.02,0.11,0.03151701133626719,0.006309297535714575,0.06064130999895241,0.06,0.02,0.11
Hybrid alpha validation,0.6,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.005,0.001,0.009000000000000001,0.05,0.01,0.1,0.02862636307308832,0.0049826691395183495,0.056573932123310945,0.05,0.01,0.1
Hybrid alpha validation,0.7,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006,0.002,0.011000000000000001,0.06,0.02,0.11,0.03166136014748467,0.006309297535714575,0.05981867940988797,0.06,0.02,0.11
Hybrid alpha validation,0.8,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.006,0.002,0.011000000000000001,0.06,0.02,0.11,0.02593731132305302,0.006759176335524295,0.04597280292634349,0.06,0.02,0.11
Hybrid alpha validation,0.9,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.005,0.001,0.009000000000000001,0.05,0.01,0.1,0.02191519113221956,0.003868528072345416,0.04145299542382092,0.05,0.01,0.1
Hybrid alpha validation,1.0,100,validation,chronological_validation_test_leave_recent_liked_out,validation/test rating >= 4.0,0.1,0.004,0.001,0.008,0.04,0.01,0.08,0.014642630869047909,0.0031546487678572877,0.029463946303571863,0.04,0.01,0.08
